StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
15, 4.23473, 4.24007, 4.23208, 4.2245, 4.22265, 4.21926, 4.21191, 4.22323, 4.23122, 3.37051, 3.35999, 3.33897, 3.30484, 3.27084, 3.23966, 3.22159, 3.21901, 2.12393, 2.12643, 2.12393, 2.12395, 2.13275, 2.63102, 5.58158, 2.12192, 2.18265, 2.18265, 1.55763, 1.57202, 1.268, 1.04842, 2.01917, 
16, 4.21183, 4.20691, 4.21284, 4.19903, 4.19874, 4.19931, 4.19418, 4.19833, 4.19639, 4.19914, 4.19985, 4.19154, 3.36877, 3.36089, 3.34256, 3.24606, 3.24088, 3.26161, 3.28763, 2.12588, 2.1968, 2.12588, 2.28837, 4.00126, 2.13914, 2.24013, 1.59103, 1.55103, 1.35218, 1.51854, 0.922227, 3.15495, 
17, 10.4946, 4.30104, 4.30104, 4.30104, 5.05283, 5.04925, 5.05282, 5.06716, 5.06718, 5.08548, 3.34277, 3.33751, 3.34539, 3.30083, 3.23326, 3.23065, 3.20243, 3.18209, 2.1616, 2.16161, 2.12786, 2.14087, 2.97414, 2.19431, 2.16918, 2.16918, 1.64271, 1.64271, 1.44466, 1.45433, 1.34484, 2.07683, 
18, 4.30736, 4.32104, 4.31281, 4.3099, 4.30432, 4.30952, 4.30896, 4.31146, 4.30624, 4.29065, 4.27511, 4.2366, 4.26221, 4.21629, 3.2891, 3.26825, 3.23966, 3.17057, 3.20362, 2.15323, 2.12251, 2.1314, 2.13589, 2.12099, 2.12638, 2.08734, 1.95298, 1.95298, 1.57334, 1.32049, 1.05468, 2.95758, 
19, 4.23499, 4.24017, 4.23498, 4.23793, 4.23292, 4.23849, 4.24416, 4.23399, 4.2188, 3.36788, 3.38101, 3.33897, 3.31271, 3.2813, 3.29171, 3.24225, 3.23188, 2.16771, 2.15743, 2.12438, 2.12438, 2.13319, 3.1897, 2.12237, 2.09119, 1.85094, 1.58089, 1.68718, 1.58757, 1.49232, 1.04529, 1.99925, 
20, 4.26701, 4.26701, 4.26702, 4.26149, 4.27233, 4.27497, 4.28296, 4.27495, 4.28023, 4.28026, 4.28026, 4.23406, 4.23915, 3.36525, 3.36788, 3.30746, 3.35739, 3.26302, 3.27863, 4.16055, 2.14876, 2.15132, 2.16957, 4.20695, 2.10109, 2.10109, 2.10109, 1.59188, 1.59866, 1.41368, 1.05885, 0, 
21, 4.2233, 4.22088, 4.22646, 4.23206, 4.2216, 4.22272, 4.2145, 4.23616, 4.22366, 4.22869, 3.36262, 3.35211, 3.31006, 3.35476, 3.31271, 3.33901, 3.28129, 3.33133, 3.23661, 2.13749, 1.60186, 1.60251, 1.60186, 1.60186, 1.60186, 1.60186, 1.69592, 1.53804, 1.48932, 1.54806, 1.05885, 1.95869, 
22, 1.95869, 4.24256, 4.24271, 4.23206, 4.21378, 4.21656, 4.2171, 4.21458, 4.21009, 4.20019, 4.20592, 3.38123, 3.39674, 3.35474, 3.34423, 3.31621, 3.28849, 3.25782, 3.25782, 3.51785, 6.45085, 3.17582, 3.08555, 3.08555, 2.64886, 2.11418, 2.11418, 1.58988, 1.46476, 1.42613, 1.24127, 2.73635, 
23, 4.27496, 4.26703, 4.27761, 4.27495, 4.28286, 4.27769, 4.24166, 4.28542, 3.29699, 3.29174, 3.28651, 3.26563, 3.26043, 3.2319, 3.20361, 3.19595, 3.20874, 2.20025, 2.21068, 2.123, 2.13571, 2.12304, 3.37237, 2.4858, 2.10424, 2.1192, 1.86244, 1.59036, 1.434, 1.38723, 1.05676, 2.12463, 
24, 4.26708, 4.27798, 4.29675, 4.28067, 4.2913, 4.28576, 4.28563, 4.28306, 4.28549, 4.29074, 4.27511, 4.24427, 4.21629, 3.32846, 3.32321, 3.26824, 3.27345, 3.25002, 3.22932, 2.14425, 2.15446, 2.20551, 2.18991, 2.12241, 3.40139, 2.09412, 2.04205, 1.64769, 1.54072, 1.45228, 1.0578, 0, 
25, 4.23151, 4.23431, 4.23763, 4.23513, 4.23012, 4.23055, 4.24123, 4.23599, 4.23599, 4.22136, 4.21077, 4.21079, 4.21078, 4.21079, 4.21078, 4.27161, 4.21079, 4.19825, 2.13184, 2.1547, 2.14199, 2.24374, 2.41888, 3.53458, 2.10353, 2.08974, 1.96599, 1.59989, 1.59989, 1.23078, 1.19988, 2.07492, 
26, 4.20945, 4.21805, 4.21588, 4.21025, 4.21864, 4.21347, 4.2141, 4.22279, 4.2182, 4.22586, 4.21351, 3.29702, 3.30222, 4.2108, 4.2108, 4.21079, 4.45021, 4.21079, 2.24961, 2.23125, 2.12729, 2.15602, 4.18917, 2.18845, 2.1094, 2.60569, 2.60569, 1.51158, 1.50833, 1.45051, 0.97757, 0, 
27, 4.23494, 4.24277, 4.23542, 4.23037, 4.24134, 4.22546, 4.24427, 4.21882, 4.2315, 3.34948, 3.34686, 3.30747, 3.30749, 3.3049, 3.29174, 3.25782, 3.25002, 3.17562, 2.15108, 2.12255, 2.12809, 2.41285, 2.14502, 2.37183, 2.12209, 2.12209, 2.00327, 2.00327, 1.58064, 1.2605, 1.0505, 2.0619, 
28, 4.22066, 4.2263, 4.23181, 4.24552, 4.25106, 4.25664, 4.25942, 4.25429, 4.26221, 4.2545, 5.05025, 5.04324, 3.36087, 3.36061, 3.31904, 3.33427, 3.26974, 3.20887, 3.9263, 3.24179, 4.0734, 2.14511, 1.60251, 1.60251, 1.60251, 2.11452, 2.11452, 1.43467, 1.58931, 1.58839, 1.08641, 0, 
29, 4.32104, 4.31487, 4.3251, 4.31997, 4.31157, 4.29583, 4.29838, 4.26736, 4.24938, 4.24426, 4.22135, 3.32059, 3.30486, 3.30484, 3.27346, 3.22932, 3.24225, 3.21898, 2.22937, 2.12509, 2.12255, 2.12255, 2.1221, 2.33431, 2.13097, 2.13097, 1.71401, 1.59524, 1.27302, 1.54149, 1.04936, 2.09977, 
