StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
0, 1.95904,1.60444,1.96017,2.59235,2.40353,2.58401,3.37997,3.08892,4.05075,4.30946,5.08977,4.52227,5.29528,5.07725,5.94624,5.39647,6.3896,6.26963,6.80897,6.97379,7.22729,7.9085,8.34873,8.53964,8.72741,8.93292,9.12904,9.63082,10.0314,10.0147,10.6552,10.5468,
1, 2.10364,1.74423,1.87776,2.101,3.28608,3.20888,3.89531,3.49263,4.65997,4.42317,5.68022,5.21913,5.99736,6.11628,7.2143,6.60867,7.38349,7.56099,8.0921,8.19329,8.55424,9.70489,9.35437,10.0742,10.4977,9.90518,10.601,11.6682,11.5482,12.5549,12.2576,13.0302,
2, 1.77043,1.65139,2.35242,2.31382,2.91783,2.66746,3.68354,3.58235,3.53645,4.42108,4.23435,4.80289,4.94685,5.40273,5.78872,6.06725,6.29676,6.84965,7.12193,7.12088,7.56111,8.06289,8.34247,8.37272,9.00699,9.12174,9.63604,9.7873,9.442,10.1629,10.5384,10.7637,
3, 2.38627,1.67851,1.92679,2.48803,2.88028,3.6366,4.17906,4.23539,4.00484,4.57235,5.58321,5.17219,5.83566,6.6431,6.63162,7.17096,6.95814,8.01491,8.19955,8.62518,8.64396,9.78313,9.52337,9.72471,10.602,10.5426,11.0892,11.2582,11.9645,12.4621,12.363,12.677,
4, 1.83287,1.36138,1.58775,2.34407,2.80898,3.1682,3.40292,3.6199,4.19992,4.03301,4.50454,4.8321,5.08456,5.61763,6.03074,5.7376,6.39899,7.06351,6.1215,6.90494,7.91059,7.70716,8.10045,8.75349,9.09253,8.93501,9.34603,9.61309,10.1138,9.91562,10.9338,11.1602,
5, 2.22063,2.26611,2.31804,2.44959,2.63459,3.20193,3.78682,3.85775,3.80664,4.59217,4.81228,5.53209,5.27859,5.79915,5.9838,7.20434,7.23564,7.5486,8.15052,8.56676,8.70863,9.76748,9.67985,10.0585,10.0992,10.2933,11.0433,11.4575,11.3573,12.099,12.5121,13.0595,
6, 1.99394,2.03774,1.79796,2.38476,2.58818,2.85524,3.25374,3.62303,3.58235,3.7743,4.36058,4.68292,4.94581,5.28983,5.39155,6.40108,6.26129,6.54399,7.31492,7.72907,7.56424,8.25276,8.52086,9.0508,9.27718,9.6423,9.69654,9.93126,10.1232,10.3882,10.6,10.6782,
7, 2.49965,1.41041,2.17299,2.5162,3.01798,2.97938,4.01515,3.65081,4.38884,4.51184,5.41838,5.37874,6.48975,6.60346,6.38334,6.65562,8.24128,7.91163,8.2997,8.78166,8.00343,9.54424,9.64543,9.6809,10.5301,11.0882,10.7491,11.3396,12.0698,11.736,12.3744,13.0094,
8, 2.03015,1.18969,1.93409,2.59027,2.63095,2.69999,3.29581,4.14568,3.9193,4.2041,4.48159,4.26877,4.7862,5.51508,5.94793,6.26037,6.8799,6.39064,6.99987,7.53712,8.01908,8.07645,8.00656,8.63874,8.959,9.25214,10.0815,9.6496,9.91979,10.4456,10.7053,10.9995,
9, 2.25621,2.31486,1.31736,2.49116,2.53915,3.36328,4.01632,3.32676,3.97251,5.01049,4.89261,5.90034,6.46575,6.11628,6.63267,6.73073,7.08228,7.64144,7.6477,8.41132,9.13009,9.19894,9.02472,10.2463,9.99386,10.7502,10.9745,11.4825,11.8706,11.736,12.6905,12.75,
