StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
0, 1.62246,1.34781,1.37389,1.22785,1.63603,2.4571,2.09795,2.77283,2.89697,4.0883,3.8588,4.23748,4.52957,4.73717,5.52374,5.05222,5.84505,5.83149,6.98005,6.8653,7.15218,7.20851,8.25588,8.42384,8.36333,8.89015,9.06854,9.70072,9.74557,10.214,10.1681,10.8941,
1, 2.22893,1.16374,1.16374,1.68797,1.41426,1.5382,2.28998,3.27878,2.79369,3.93182,4.06952,4.71631,4.38144,5.63549,5.73617,6.58468,5.78392,6.70152,7.18452,8.25276,8.34143,8.7441,8.88076,8.67421,9.86137,9.94065,9.79773,11.1278,10.9369,11.5451,11.6359,12.5789,
2, 1.84275,0.691641,1.24141,1.86524,1.09953,2.00086,2.37954,2.67164,2.7384,3.02111,3.76282,3.84836,4.79142,4.71735,5.44863,5.70004,6.01718,6.43028,6.30301,6.59302,6.26546,6.76828,7.70716,8.39672,8.13592,8.47287,8.90058,9.14156,9.31995,9.91457,10.4612,10.2348,
3, 2.06907,1.04946,1.04946,1.72024,1.91532,1.95809,2.439,2.60383,3.29443,3.9965,4.3564,4.2187,4.69857,4.57026,5.6917,5.97441,6.47514,6.5659,7.41194,6.74742,7.55068,8.11714,8.02638,9.06645,9.30847,10.2265,10.529,10.5822,10.8357,11.2812,12.2806,12.3797,
4, 1.96455,0.435347,0.487441,0.620065,1.42605,1.90906,2.47864,2.69667,3.18176,3.41648,3.19949,4.00693,3.67832,4.78203,4.99588,4.80602,5.57173,5.90556,6.51687,6.39273,7.00196,6.94041,7.89598,8.20894,8.11088,8.38107,9.11548,9.0748,9.14573,9.7028,9.96152,10.6166,
5, 2.19354,1.1663,1.02964,1.17673,1.9487,2.33468,2.9606,2.8156,3.16194,3.73674,4.2187,4.42212,4.86548,4.98858,5.29215,5.72508,6.43133,7.10315,7.36812,7.28049,7.75828,8.4301,9.18642,9.00699,9.74975,9.54528,10.407,10.721,11.5618,11.9613,11.9707,12.0688,
6, 1.86219,0.543933,0.90967,1.02651,1.41249,1.67434,2.44004,2.64556,2.90948,3.27043,3.56044,4.02884,4.06535,4.25104,5.11377,5.20974,5.56234,5.77411,6.18459,7.09181,7.25337,7.32222,7.53712,8.3383,8.06394,8.57719,8.62726,9.6183,9.43053,9.85511,10.7846,11.085,
7, 2.02275,0.481727,0.885677,1.14022,1.55437,1.88924,1.81308,3.39666,3.14108,3.8202,3.94851,4.41378,4.89574,4.82584,5.75429,5.98484,6.78497,7.37125,7.67169,7.18348,7.46931,8.2684,9.10088,9.39506,9.50355,10.5217,10.117,10.6834,10.6333,11.5712,11.6557,11.6265,
8, 2.05448,0.762579,0.982694,0.950355,1.36764,2.03737,2.83229,2.42127,2.79473,3.21827,3.71484,3.6585,4.16758,5.03135,4.92912,5.27755,5.02822,5.97858,6.65979,6.78497,6.89764,7.01239,7.57468,7.69569,8.49165,8.13905,8.90267,9.01012,10.3298,9.45452,10.3819,10.2912,
9, 1.96772,0.762579,1.02547,2.00607,1.61487,1.82977,2.49116,3.26626,3.84732,4.1269,4.32928,4.62659,4.93016,5.31928,5.55608,6.15071,6.3896,7.31909,7.51834,7.55172,8.34769,8.67108,8.32161,9.54737,9.26049,9.97195,10.4195,10.6406,10.8576,10.9546,11.8205,12.0479,
