StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1, 1.98313,1.32695,1.72024,2.05406,3.03527,2.72491,2.84324,3.59476,3.94561,4.44281,4.02865,4.721,6.03908,5.95772,6.2279,7.25859,6.7495,7.7322,6.88408,7.56633,8.49999,8.49373,9.56093,9.28239,9.91979,9.78209,10.7502,10.5092,10.9244,12.002,12.0218,12.8355,
2, 0,7.5369,7.5369,7.5369,1.99934,2.45674,2.69772,3.19011,3.88383,3.32468,3.65433,5.11272,4.64746,5.29215,5.84309,6.20704,6.85904,6.93102,7.08646,7.41194,8.39359,9.03724,8.83382,9.40445,9.05497,9.62665,9.98342,10.5248,11.567,11.3177,11.1977,12.6957,
3, 1.96601,1.41013,0.913316,2.17549,2.59204,2.65181,2.78117,3.29477,3.94353,3.89371,3.83869,4.59634,5.44968,4.98465,5.97649,6.62536,6.56694,7.11462,8.0389,8.44262,8.19851,9.11444,8.55215,9.44826,10.0784,9.40758,10.6041,10.7387,11.3813,11.687,12.6405,12.6165,
4, 1.5337,1.55195,1.03694,1.88412,2.25957,2.03841,1.94121,2.69772,3.97876,3.57192,4.60677,4.32928,4.8634,5.00423,5.47471,5.78976,6.79332,6.08916,7.37229,6.94667,7.19495,7.94605,8.07958,8.38628,8.86303,8.91727,9.25527,9.44409,9.72888,9.9949,10.4779,10.8201,
5, 1.94434,1.93931,1.88819,2.57983,2.48595,2.73631,3.12334,3.75656,3.91722,4.57339,3.90052,4.78516,5.2546,5.92851,5.89304,6.34266,6.98214,8.01282,7.46827,7.94814,8.1693,8.78374,8.99343,9.58909,9.9636,9.73201,10.1639,10.89,11.4074,11.8956,11.616,12.1032,
6, 1.72314,1.27479,1.35929,1.89654,2.5934,2.32634,2.97208,2.93244,2.97625,3.88175,3.90887,4.01632,4.56504,5.37978,5.28902,5.55087,5.03761,5.5999,6.41151,6.64101,6.92268,7.95544,8.22042,7.91684,8.2684,8.6836,9.26153,10.2046,9.83633,10.6187,9.58909,10.1055,
7, 1.98063,1.16943,1.52412,1.24349,2.42648,2.3931,2.69041,2.753,3.77638,4.60677,4.24374,4.47637,5.31928,5.57069,6.16114,6.3969,6.79332,6.72864,7.65083,8.19955,8.36229,8.17973,9.28031,9.72471,10.0606,10.818,10.5499,11.8987,12.0771,11.591,12.1293,12.3338,
8, 1.63841,1.38015,1.0359,1.31652,2.11665,2.72692,2.56523,3.09309,2.80412,3.46655,3.14838,4.27465,4.93898,4.70543,5.29709,5.78976,5.8367,6.04952,6.30197,6.92372,6.75472,7.3024,7.75515,8.26006,9.0122,8.50938,8.91101,9.55676,9.87597,9.96465,9.83842,10.8701,
9, 2.10934,1.42975,2.04638,2.11248,2.6153,2.80308,3.1442,3.39249,3.96625,3.9433,4.33763,5.49036,5.18783,5.45072,6.1142,6.57425,6.88095,6.8194,7.31075,8.54381,8.30179,8.69403,9.45765,9.91875,9.5578,10.4967,10.2557,11.2812,11.4564,11.7162,12.1627,12.7625,
10, 2.00919,0.935377,1.41736,1.42149,2.30763,2.44109,2.30036,2.86984,3.40396,3.56148,4.0278,4.45968,4.87383,4.564,5.38813,5.60511,6.41672,6.03908,5.95041,7.17722,6.9112,7.54338,7.45262,7.97631,8.01804,9.20728,8.52399,9.5265,9.44409,9.81025,9.89788,10.3162,
11, 2.01086,1.33397,1.82351,2.67789,2.69459,3.53853,3.01172,3.78682,4.02884,3.39666,4.79663,5.04179,5.72612,5.35996,5.58529,6.41672,6.88199,7.39212,7.18869,8.0535,8.00656,8.33308,8.97152,9.74557,10.384,10.7251,10.311,11.3824,10.8315,11.784,12.7156,12.6373,
12, 1.45725,1.24767,1.64408,1.98834,2.05406,2.60696,2.38684,3.06284,3.3977,4.14881,4.42212,4.48889,4.8561,4.99484,5.45176,5.65832,5.61137,6.20704,6.07873,6.84548,7.40672,7.43489,7.86677,7.59867,8.29448,9.31786,8.96735,9.82381,9.42323,9.77791,10.8013,10.3183,
13, 2.10259,1.17777,1.61279,1.75362,2.88862,2.32112,3.1755,3.71066,3.8734,3.88488,4.75804,4.99484,5.216,5.49245,6.18096,6.56486,6.68378,7.45888,7.45053,8.24754,8.04829,9.10818,9.06645,9.28031,10.1691,10.3079,10.5989,11.107,10.5509,12.0646,11.4637,12.5174,
14, 1.78758,1.33709,1.06198,2.05747,2.06577,2.06058,3.06805,3.61364,3.62303,3.53958,3.90783,4.3105,4.8321,5.35892,5.57382,5.35788,5.69379,6.05578,6.31345,6.36978,6.91224,7.63101,7.88555,8.12236,8.47183,8.80356,9.76435,9.08627,10.1347,10.3778,10.0199,10.3506,
15, 2.00371,0.348389,2.17061,1.85298,2.61843,2.71556,3.33214,3.31657,3.96938,4.0111,4.419,5.00214,5.79706,5.5686,5.85131,6.69108,6.72029,7.27423,7.57259,7.91684,7.49331,8.54276,9.06436,9.94691,10.1462,9.93022,10.6573,11.1664,10.9818,12.0771,12.2524,12.0124,
16, 1.5568,1.3402,1.68694,1.54647,2.17268,2.2713,3.0305,3.60008,3.31007,4.29068,3.82646,4.67667,4.63285,5.07517,5.4455,5.68335,5.88365,6.26546,6.43341,7.04786,6.74012,7.6164,7.74576,8.11088,8.32265,9.01525,9.19897,9.6037,9.81756,10.4164,10.4205,10.697,
17, 1.80229,0.972262,1.73797,2.37432,2.63825,2.69772,2.76135,3.60217,4.14776,3.90052,4.06952,4.67041,4.80081,5.699,5.81375,6.98735,6.79123,7.26172,7.62788,8.03786,8.04829,8.62205,9.20207,9.07167,10.5801,9.6809,11.0099,11.0287,10.8055,11.3594,12.1314,12.3296,
18, 1.86821,1.07137,2.03528,1.49595,2.15316,2.51203,3.00233,3.0837,2.75926,3.76282,3.60947,4.14359,4.32302,5.047,6.11524,5.7835,5.82836,6.48244,6.63267,7.02491,7.81461,7.44219,8.8359,7.99091,8.76705,8.59388,9.37107,9.4034,10.1034,9.83738,10.3934,10.6083,
19, 1.69447,1.36764,1.7797,1.65764,2.01442,2.87297,3.62512,3.54062,3.98189,4.5871,4.78017,4.76771,5.53313,5.7908,6.60763,6.1361,7.10211,7.31075,7.38586,8.05663,8.33517,8.43532,9.01325,9.54737,10.2547,10.1931,10.0043,11.3761,11.5691,11.8341,11.5764,12.6332,
20, 1.47715,0.765232,1.3572,1.68685,1.73693,2.77596,2.82707,3.50828,3.38727,4.1196,4.42004,4.36788,4.95729,5.21078,5.27025,5.57277,5.69066,6.04221,7.10315,6.90703,7.31388,7.39629,7.88138,8.39359,8.36646,7.97005,9.37107,8.92249,9.91144,10.3298,9.89267,11.639,
21, 2.05481,0.695814,1.8642,2.53289,1.90801,2.65703,3.2214,3.33407,3.67519,4.11021,4.7862,4.52644,5.40378,5.72091,5.24938,6.42611,7.34621,7.41402,7.54964,8.28614,7.92936,8.52712,9.12174,9.55676,9.9177,10.2213,10.022,10.456,10.5666,10.9922,11.9238,12.6311,
22, 1.94534,1.14298,1.65679,1.80004,2.38163,2.46717,2.80099,2.90844,3.4676,3.48012,3.79308,4.38248,4.85505,4.92599,5.01258,5.99423,5.75846,6.17366,7.04995,7.02074,7.11984,6.87364,8.14635,7.74054,8.97361,8.47078,9.14886,9.3888,9.03203,10.4622,10.7321,10.6439,
23, 1.95776,1.10976,1.41182,2.08536,2.782,2.53706,3.30412,3.70894,4.16445,4.37622,4.65059,4.95729,5.70526,5.77828,5.74386,6.54817,6.65979,7.24502,7.16991,7.6936,8.60953,9.05393,8.89328,9.06958,9.98968,10.311,10.5144,11.5305,11.1028,12.2357,12.0114,12.2513,
24, 1.64578,1.10475,0.644661,1.82351,1.76301,2.20428,2.87402,3.07953,3.15985,3.71692,4.11751,4.26147,4.82793,5.03866,5.14193,6.21017,5.7522,6.34057,6.11837,7.30031,7.003,7.74367,7.75619,8.86824,8.67004,8.19747,9.1426,9.9417,9.99177,10.3652,11.0736,10.8847,
25, 1.71374,0.956137,1.2894,2.70311,2.09788,2.33773,2.60865,3.07887,3.62408,3.89009,4.43569,5.42986,4.91243,5.08873,5.97649,6.03074,7.40672,7.39107,7.82504,8.04412,8.19434,8.44783,9.45869,9.69237,9.90831,9.66942,10.0804,10.8754,11.0903,11.9686,12.1105,12.2743,
26, 2.16151,1.02547,1.70668,1.99773,2.11975,3.04565,2.91279,2.8121,3.51871,3.03735,3.9506,4.08413,4.62033,5.40691,5.42986,5.12003,6.34683,6.2592,6.30301,6.94041,7.69464,7.24711,8.49582,8.47183,8.79835,8.23606,9.07375,9.55467,9.95213,9.85407,10.7836,10.3006,
27, 1.52873,1.9247,1.3958,2.0478,2.02694,2.93874,3.37684,3.69501,3.94538,3.91409,4.54731,4.89887,5.31928,5.69379,6.1747,6.60867,6.78706,7.21581,8.12027,8.75766,8.50938,8.46557,9.87702,9.9563,9.82799,10.7137,10.6792,11.2958,11.1351,11.4596,11.9467,12.7343,
28, 2.19072,1.27583,1.08806,1.58671,2.21889,2.18133,2.88862,2.79578,3.11291,3.70545,4.33554,4.6026,4.63076,5.2692,5.72091,5.3777,6.21643,6.21121,6.58989,6.79436,7.35039,7.51834,7.85321,8.38524,8.45305,8.79313,9.55884,9.5505,10.2494,10.1608,10.5259,10.7898,
29, 1.65592,0.532926,1.35199,2.32216,1.84855,2.53498,3.24806,3.81775,3.77334,4.13245,4.26356,5.10855,5.87948,5.7689,5.91912,6.00466,7.2033,7.70195,7.36082,7.84799,8.91727,9.26988,9.23962,9.07793,10.0575,10.8952,10.7304,11.6119,11.3751,11.5013,11.7475,12.3452,
30, 1.99444,0.957658,1.72738,2.18099,2.12597,2.74047,2.89384,3.56569,3.40999,3.88644,3.7816,5.0856,4.94581,4.78307,5.08873,5.49036,5.93789,6.18722,6.05473,6.39586,6.87886,7.73428,8.26214,7.80627,9.06541,9.13113,8.94753,10.0335,9.84781,9.54632,10.3058,11.0684,
31, 1.9502,0.474249,1.68281,1.9464,2.0803,2.71764,3.63109,3.32176,3.4567,4.62451,4.24351,4.81332,5.73134,5.93685,6.2978,6.94458,6.54295,7.38377,7.73428,8.50208,8.72324,9.17703,8.90267,9.65273,9.96465,10.1608,10.8242,10.7867,11.4283,11.3678,11.8101,12.6467,
32, 1.61955,0.709376,1.75201,2.03567,1.6229,1.73445,3.28921,2.95121,3.73153,3.90365,4.10186,4.49619,4.82584,5.20974,4.81541,6.24251,5.93268,6.28632,6.70047,6.8653,7.29927,7.8772,7.95544,8.46974,9.05185,8.64396,9.04141,9.30952,9.40653,10.6928,10.6563,10.9473,
33, 2.04824,0.597751,1.82143,1.95704,2.54541,3.03008,2.64764,3.93704,3.67676,4.5254,4.76325,4.19262,4.97711,6.08186,6.11941,6.4887,6.6577,7.40672,7.5945,8.37585,8.23085,9.35646,9.3116,9.6882,9.71428,10.6177,11.0172,11.0642,12.026,11.9248,12.1303,12.0208,
34, 2.05717,0.923232,1.50221,2.06762,2.04989,2.41084,2.7384,3.41231,3.53749,3.83376,4.06118,3.96207,5.08769,5.48097,5.29215,5.50705,6.23729,6.55443,6.62015,6.51165,7.46305,7.24502,8.0702,8.25067,8.49999,8.8672,9.03724,9.19268,9.91562,9.97299,10.5718,10.7022,
35, 1.71835,1.29252,1.68581,1.98896,2.14673,2.7685,3.81081,3.72527,4.30111,3.7743,4.64328,4.23435,6.28006,5.27442,6.40942,6.81523,6.66083,6.72342,7.8626,8.84321,8.25067,8.95483,9.56719,8.99969,10.069,10.0356,10.4456,10.8514,10.9056,11.2061,12.0333,12.4892,
36, 1.81663,1.28,1.21428,1.37861,2.13739,2.28894,2.66016,3.29964,3.34763,3.7962,4.26564,4.66832,4.27608,4.97815,5.11064,5.51123,6.48349,7.09272,7.27215,7.38586,7.16678,7.5778,8.10253,7.65083,8.7222,8.17869,9.84155,9.43992,10.2181,10.0283,10.0272,10.7105,
37, 2.07925,1.50012,1.76092,2.20428,2.01233,3.11291,2.44422,4.06952,3.72944,4.64537,4.8248,5.2014,5.13985,5.58842,6.45324,7.25754,6.77245,7.05725,7.98152,7.89181,8.91414,9.41697,9.28761,9.50981,10.3152,10.1284,10.5196,11.0151,11.6536,12.0677,12.1042,12.2534,
38, 1.92498,0.843949,1.80265,2.06971,1.63574,2.20428,2.49325,2.88236,3.62616,3.87653,3.8129,4.53062,4.46281,5.06787,5.08873,5.96606,5.77724,6.7036,6.39169,6.62432,7.16991,7.63414,7.82609,8.04724,7.98778,9.19059,9.24588,9.18225,9.94274,10.3819,10.529,10.7168,
39, 2.09613,0.934707,1.65556,1.92053,2.43274,2.38788,3.36119,3.70023,3.72109,4.67041,4.63807,5.79393,5.30676,5.77203,6.6191,6.88721,7.41194,7.06351,7.66752,8.08063,8.69716,8.86094,9.71219,9.78313,9.69237,10.4998,10.8055,11.3135,11.0788,12.0615,12.4662,12.1397,
40, 1.59607,1.15587,1.05259,1.32278,2.04884,2.16464,3.06701,2.72588,3.70336,3.51454,4.23018,4.62659,4.72465,4.67667,5.32136,5.81793,6.28113,6.73681,7.21686,7.21686,7.23459,7.36604,7.46305,8.12757,8.66169,8.6064,9.57032,9.84572,9.86241,10.4988,10.2745,10.6605,
