StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
18, 1.95496,1.56376,2.15734,2.04572,2.97507,3.08094,3.13803,3.40792,3.45255,4.10604,3.77638,4.42317,4.84879,5.2087,5.17114,5.83879,5.98588,6.58676,6.73594,6.87886,7.69673,7.12714,7.83607,7.96374,8.16408,8.18588,8.91623,8.74017,9.87597,9.55467,9.97716,9.80921,
19, 2.16757,1.81353,1.49071,2.0419,2.94808,2.90863,3.59174,4.13733,4.75699,4.32511,5.45489,4.97293,5.52374,5.82419,6.56381,6.71508,7.01865,7.50791,7.50061,8.23189,8.59805,9.08627,8.7681,9.22919,10.1889,10.0085,9.88328,10.795,10.9369,11.8414,10.9265,11.4189,
20, 1.9707,1.75852,2.00972,2.54749,2.90844,3.17341,3.01589,3.69919,3.36954,4.16341,4.15298,4.93642,5.29633,5.1847,5.09082,6.12045,6.23416,6.58364,6.7735,6.65457,7.06142,7.09272,7.87094,8.34247,8.68255,8.67004,9.46808,9.39715,9.47121,9.36376,10.6511,10.4758,
21, 2.21112,1.85064,1.94974,2.45465,2.41292,2.98668,3.49785,3.91617,3.94434,4.66936,5.12941,4.98232,5.75951,6.22582,5.60407,6.91224,6.5273,6.82461,7.17096,8.10462,8.25797,8.95796,9.11235,9.85928,9.80086,10.795,11.3646,10.552,10.8608,11.3959,11.7214,12.0062,
22, 2.00217,1.73361,1.717,2.17299,3.01451,2.80068,2.88476,3.02281,3.99128,4.16028,4.38979,4.36475,4.6026,4.14776,5.09708,5.82836,5.98692,5.96502,6.13193,6.95501,6.88825,7.04369,7.93354,7.80001,8.22042,8.53859,8.8818,9.05602,9.04559,9.51398,9.61726,10.0293,
23, 2.06478,1.33634,1.5335,2.92836,2.77162,3.32781,3.27043,4.02362,4.19366,4.42108,4.39813,5.06265,5.16697,5.48723,5.93372,6.80792,6.64518,7.2711,6.72968,7.62371,8.28405,8.66273,9.83946,9.07062,9.80399,10.0074,10.3287,10.1775,11.0245,10.6719,11.2238,12.1668,
24, 1.83577,1.28522,2.0478,2.04989,2.20175,2.44776,2.8156,3.05658,3.62303,3.61156,4.50975,4.12377,4.65163,4.55983,5.17844,5.74177,5.83462,6.12358,5.94937,6.90181,6.87469,7.26589,7.50478,8.40298,7.67065,8.75558,8.95066,8.68881,9.28761,9.76644,10.2035,9.67568,
25, 2.06265,1.85298,2.45952,2.17445,2.47994,3.20758,3.32468,3.31425,4.48848,4.30737,5.27114,5.12375,5.73447,5.33965,5.88573,6.94563,6.61702,7.05933,7.2179,8.04307,8.27153,8.2225,9.22606,8.71489,9.7341,9.78939,9.84364,10.9098,11.0245,11.2759,11.7277,11.9269,
26, 2.06021,1.58413,1.68897,2.28998,1.74918,3.15151,2.33565,3.17028,3.36223,3.46864,3.62303,4.2959,4.46698,4.98545,5.12733,6.28945,5.65519,6.03178,6.3896,6.53148,7.0416,7.67691,7.53816,8.20164,8.3529,8.31013,8.94648,9.1739,9.15095,10.191,9.3742,10.3006,
27, 2.08317,1.16734,2.02276,2.32216,2.43379,3.32989,3.53228,3.72631,3.9433,4.86653,4.63494,5.35522,5.42477,5.54622,5.70711,5.86489,7.15322,7.13862,8.03368,7.85947,8.15156,8.44679,9.17912,9.33873,8.92458,9.41384,9.83112,11.0162,10.6991,11.4251,11.6411,11.664,
28, 1.84253,1.41771,1.84855,2.69772,2.82081,2.32738,3.08161,2.93556,3.19741,3.80664,4.39917,4.20097,5.4236,4.6944,4.8248,5.25147,5.68335,5.81062,6.52522,6.351,7.05099,7.26172,7.63831,7.91476,8.19851,8.69716,8.80148,9.1207,9.28135,9.93022,10.1514,10.1441,
29, 2.19842,2.09996,2.26166,2.49325,2.97208,3.20993,3.23705,3.60634,3.76074,4.19262,4.88531,5.14715,5.17219,5.83462,5.90451,5.84609,6.8194,7.28988,7.64979,7.89807,7.98152,8.06915,8.66795,9.4347,9.75705,10.3214,10.118,11.2634,10.8722,11.2655,12.0698,11.7777,
30, 2.04558,1.36242,1.38015,1.96226,2.37954,2.29087,3.41752,2.87402,3.01068,3.40709,4.43151,4.77577,4.9698,5.44864,5.26803,5.85347,5.42996,6.66396,6.24668,6.95293,6.7808,7.79166,8.15469,8.03264,8.57823,8.56154,9.21563,9.5265,10.0105,9.92709,9.66838,10.5739,
31, 2.17039,1.89132,2.56419,2.32112,2.93348,3.5594,3.50932,3.9579,4.10708,4.25313,4.57026,5.39334,5.23165,6.00362,6.62641,6.64727,6.70465,7.65292,7.39212,8.49895,8.13174,7.97318,8.91727,9.62143,9.94796,10.6187,10.4508,11.2217,11.2196,11.5128,11.4805,11.6035,
32, 1.97553,1.27062,1.48033,1.67351,2.70815,3.49368,3.23809,3.74822,3.5135,3.77325,4.55492,4.25908,4.79885,4.62446,5.28798,6.17366,6.01926,5.77203,6.64414,7.00358,7.12711,7.38349,7.96686,7.75822,7.79247,8.6523,8.68673,9.49521,9.83007,10.1097,10.166,10.07,
33, 2.18382,1.6291,1.52064,2.03359,2.69041,2.55793,3.25533,3.53455,4.4409,5.05848,4.86444,5.0397,5.49766,5.76472,6.05473,6.64727,6.07142,6.96649,7.87303,8.14009,8.05142,8.2298,8.65126,9.37732,9.97716,9.75914,9.8572,10.7815,11.0579,11.06,11.3354,12.3911,
34, 2.06533,0.839776,1.7484,1.93514,2.7083,2.34499,3.39027,3.39338,3.44425,4.08621,4.22183,4.29798,4.93955,4.6944,5.15862,5.47563,5.90122,6.56486,6.09333,6.92268,7.40359,7.27319,7.5319,8.40386,8.45991,8.16096,8.97373,9.1134,9.3116,9.92709,9.04016,10.5687,
35, 2.27908,1.48656,2.25605,2.45569,2.30563,2.67998,3.23914,3.77117,4.02362,4.53416,4.76221,4.226,5.7762,5.73238,5.46324,6.45115,6.51791,7.57885,7.19599,7.49539,7.90746,8.56154,8.76705,9.60996,9.25736,10.2265,10.6991,10.2797,11.2509,11.9113,11.1768,11.9238,
36, 2.17767,1.30684,2.00453,1.58985,2.25884,2.34603,2.97312,3.3977,3.38936,4.04395,4.30836,4.77577,4.40029,5.02301,5.82001,5.70943,5.90243,6.30927,6.40525,6.88929,7.32639,7.73533,7.84382,7.73011,8.40506,8.60014,9.13217,9.23128,9.90518,9.65899,10.1305,10.1201,
37, 2.24523,1.50732,2.1104,2.46437,2.60174,3.66327,3.42483,3.92692,4.84253,4.13868,4.93747,5.46741,5.93476,5.84192,5.62285,6.95293,6.43967,7.29823,8.2611,8.0994,8.55424,8.61892,8.56154,9.40653,9.60996,10.0491,10.4216,11.6139,10.818,11.277,12.2858,12.2732,
38, 1.87683,1.45231,2.12597,2.31486,1.8509,2.67894,2.92939,3.15983,3.61634,3.99024,4.03155,4.48641,5.09186,4.9479,5.62598,5.28485,5.62598,5.95146,7.08541,7.07498,7.61536,7.23564,7.93875,7.95544,8.34247,9.03203,8.96004,9.25214,9.15199,9.63604,10.0585,9.97508,
39, 2.12416,1.61424,2.4654,2.61948,2.89697,2.79056,3.43213,3.87444,4.53062,4.22287,4.64433,4.86027,5.43299,5.53418,5.96293,6.85382,6.71716,7.25024,7.28988,8.12653,7.95336,9.09462,9.14573,8.44679,9.59744,10.3767,10.4216,10.6281,10.9317,11.9478,12.0604,11.9551,
40, 1.84018,1.18658,1.76786,1.75644,2.52872,2.71754,2.91992,3.22453,3.93495,3.78786,4.06222,4.7403,4.97293,4.99276,4.96042,5.65519,6.0829,6.17887,6.33222,7.26589,7.34413,6.59511,8.14643,7.81842,8.29175,9.06645,8.54088,9.09462,9.54424,9.64125,10.2046,10.721,
