StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
0, 1.98998,1.60236,1.60757,1.80731,2.64973,2.63045,2.92826,3.53749,3.55836,3.50411,4.14359,3.78577,4.29068,4.50662,5.17114,5.55817,5.3151,5.92746,6.29988,6.86217,6.50227,7.08646,7.52043,7.67378,7.71759,8.71072,8.92249,8.54589,8.88076,9.28865,9.2897,10.094,
1, 2.19508,1.42292,2.64868,2.39378,2.37302,2.9919,3.02945,3.69919,4.73091,4.63807,4.28338,4.78933,5.08038,5.71361,6.00988,5.68127,6.7036,6.96127,7.23251,7.96275,7.85425,8.50625,9.14573,8.72845,8.60953,9.49625,10.2536,10.4623,10.1931,10.8597,11.2634,11.1351,
2, 2.13854,1.3353,1.5648,2.15734,2.30659,2.78822,3.09444,2.77784,3.60099,4.05875,3.75565,4.39299,4.47499,5.12316,5.25877,5.41316,5.88052,6.11524,6.30301,6.21852,7.21268,7.02178,7.37855,7.93458,7.92519,7.9158,8.4614,8.91206,8.90476,9.1353,9.62978,9.95839,
3, 2.31479,1.85377,2.00816,2.52037,2.55375,2.68833,3.74092,3.72214,3.67728,4.20305,4.80394,4.53479,4.60573,5.30884,5.87217,6.17887,6.27902,7.11462,7.57155,7.04682,8.06602,8.37272,8.6064,9.30117,9.39715,10.0919,9.79356,9.95317,10.7669,10.5155,12.001,11.9217,
4, 2.13438,1.45944,2.3533,1.27896,2.11871,2.94289,2.80898,2.67093,2.81417,3.44256,3.97251,4.35536,4.58695,4.86027,5.33597,5.12524,5.8993,5.64058,6.10689,6.35309,6.93206,7.28258,6.93519,7.48496,8.36751,8.27988,8.81087,9.02055,8.95692,8.80878,10.1284,9.6496,
5, 2.43848,1.67851,1.71711,2.26061,2.72588,2.99607,3.37475,3.32259,3.4363,5.01466,4.17697,5.48306,5.41525,5.97128,5.16384,5.81271,5.94728,6.8726,7.52564,8.14635,8.26006,8.39359,8.1307,8.86303,9.00803,9.89058,9.73827,10.0742,9.63187,11.2363,11.4449,11.6536,
6, 1.91088,1.20698,1.53872,2.17924,2.12291,2.40875,2.8688,3.11604,3.20367,3.52602,4.01945,4.10916,4.19679,4.95833,4.83732,5.42673,5.5999,6.04221,5.84296,6.27902,6.60033,7.26589,7.18452,7.84069,8.18703,8.162,8.71176,8.93918,9.21459,9.41175,9.78,10.0199,
7, 2.35244,1.4417,1.7724,2.69772,3.03838,2.87402,3.80651,3.16606,4.20827,4.04006,4.0847,4.78516,5.12628,5.76055,6.182,6.1361,6.72447,6.64727,8.27466,7.24607,7.70299,7.74159,8.48226,7.96692,9.28344,9.53693,9.0967,10.5123,10.7794,10.7324,11.3657,11.8528,
8, 1.98519,0.810566,1.73484,1.71502,2.18237,2.61948,2.91574,2.753,3.44736,3.44113,4.27921,4.02865,4.85923,5.19952,5.37287,5.41854,5.46006,5.77724,6.54608,6.62432,6.72134,7.32639,6.69317,7.56946,8.08063,8.2538,8.1161,8.66482,8.65334,9.44931,9.40862,9.80712,
9, 2.44996,1.88193,2.48073,2.13856,2.28148,3.4436,3.41439,3.3904,3.92243,4.55461,4.23018,5.34849,5.48828,5.5759,5.54461,6.28319,5.72404,7.12506,7.2565,8.02325,8.15574,8.45827,8.44262,8.99656,9.79791,9.45848,9.75846,10.7199,10.4476,11.2196,11.0663,11.2822,
10, 2.3097,1.4803,1.98688,2.36368,2.50715,2.93774,3.04206,3.27239,3.59258,4.01528,4.33971,5.24521,4.17906,5.05222,4.70379,4.76116,5.69587,5.89304,6.72342,6.29363,7.67378,7.44219,7.11149,7.69882,8.04307,8.30387,8.46661,8.80565,9.2052,9.45348,9.64438,9.95526,
11, 2.35675,1.02755,1.57732,2.51419,1.87046,2.95846,3.61364,3.91409,4.26147,3.58026,4.47637,4.878,5.26503,5.3537,5.5081,5.72404,6.64727,6.93415,7.35247,7.64666,8.43844,8.33621,8.60014,9.55154,9.12174,10.0158,9.5724,10.07,10.8107,11.3782,11.2509,11.639,
12, 2.17715,1.33425,2.13126,1.84542,2.25957,2.97729,3.06075,2.85107,3.79308,3.84628,3.99233,4.02049,4.5713,4.77994,5.11168,4.93747,5.1701,6.05682,5.99527,6.57842,7.01969,6.99987,6.98214,7.67274,8.37168,8.03055,8.86303,8.85572,9.53485,9.36272,10.2307,10.166,
