StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
2.34267,0.583132,0.424743,1.20281,1.86107,1.91323,2.70293,3.09517,3.30903,3.6053,3.43526,3.71275,4.32824,4.92077,5.24938,5.361,5.38604,5.88469,5.76577,6.16427,6.64205,6.4741,7.42132,7.69464,8.49478,7.94188,8.09732,8.74932,9.18851,9.3356,10.1576,9.60683,
2.79618,0.795962,1.38015,1.97478,1.49491,2.13334,2.67685,3.32885,3.38414,3.59174,4.13524,5.07934,5.19096,5.53626,6.08707,5.77724,6.28528,6.02344,6.90911,7.03534,7.79062,8.26632,8.02534,9.02577,9.27613,9.58179,10.2004,10.8368,10.3684,10.481,11.6734,12.1762,
2.55903,2.33282,1.10475,1.24454,1.60444,2.19281,2.71545,2.98147,2.90218,3.30486,3.27982,3.912,3.84524,4.16863,4.52749,5.4382,6.07768,5.54252,6.6577,6.06516,6.7735,7.0948,7.36499,7.58719,7.95336,8.37585,8.25693,8.76392,9.01429,9.25005,9.42948,9.45035,
2.76519,0.88672,1.56167,0.973306,2.15004,2.84898,2.54854,3.26104,3.10143,3.73048,4.16654,3.95268,4.9865,5.08038,5.68335,6.49183,5.87217,6.25607,7.21268,7.24502,7.75828,7.8553,8.41028,8.77748,9.27092,10.2943,10.0043,10.4362,10.3819,9.96882,11.2019,10.7971,
2.08451,0.920102,0.920102,1.17464,1.48239,1.93809,2.51411,2.92513,2.96999,3.57296,3.37058,3.87027,4.78724,3.99233,5.46011,5.43299,5.33388,5.54982,6.34787,6.44385,6.58989,6.79332,7.20017,6.85695,7.81148,8.05142,7.90433,8.01699,9.13948,9.0122,9.34499,9.97821,
2.86702,0.55726,1.66912,1.63469,1.90071,3.14525,2.76552,3.00337,3.78473,3.82959,4.3032,4.20931,4.65267,4.59008,5.39647,5.72091,6.18513,6.20913,6.92476,7.28884,7.57468,8.18599,8.26319,8.82547,8.71698,8.87033,10.2098,9.07584,10.8608,11.1633,11.543,11.0569,
2.42042,1.01608,1.0818,1.43649,1.47613,2.04467,2.50055,2.58714,3.12751,3.79516,3.87132,3.68667,4.24895,4.40648,4.96042,5.8148,5.58112,5.61346,5.81271,6.58572,5.97962,7.29319,7.4354,7.42501,7.54338,7.62475,8.7514,8.88806,8.79626,9.01638,9.42531,10.0022,
2.6756,0.616527,1.2727,1.41458,1.95574,2.07823,2.52457,3.19741,2.89279,4.06535,3.88279,4.54105,4.86131,4.67562,5.88573,5.41734,6.30406,6.19765,6.75889,7.3098,7.97631,9.00177,8.16826,8.73993,9.60787,9.92292,9.57971,10.504,10.7637,11.1925,10.8795,12.1762,
2.25006,0.925318,1.40936,1.44379,1.84229,2.15108,2.42022,2.66851,3.25896,3.18906,3.5667,3.74404,4.39604,4.71944,4.45238,5.74655,5.21302,5.63652,5.58566,6.21956,6.54191,7.04056,6.51687,7.78436,7.82296,8.19016,8.58345,8.63665,9.27822,9.51816,9.81025,9.98134,
2.89251,1.09119,0.969133,2.1782,2.34707,2.16777,1.94348,2.41662,3.01762,4.02258,3.84524,4.65059,5.18157,5.15758,5.55817,5.28902,6.39273,6.72864,7.24502,6.9039,7.54338,8.03681,8.76497,8.50938,9.07375,9.31369,9.56197,10.6751,10.5968,11.3135,11.3761,11.1852,
2.51776,0.963917,1.11309,1.61592,2.03841,2.24392,2.44526,2.60904,3.37267,3.28608,3.78577,3.64077,4.48785,5.18053,4.90826,4.56817,5.63537,5.97232,5.47054,6.45532,6.50435,7.33474,7.17304,8.02221,7.46514,8.23606,8.57093,8.51147,8.59075,9.34499,9.72993,10.0909,
2.48438,1.72754,1.72754,1.74527,1.642,2.01442,2.23975,3.14629,3.05136,3.35076,4.02571,4.17906,4.84149,5.25043,5.65727,5.3151,6.59094,6.61493,6.81731,6.67544,7.53399,7.52669,8.53025,8.53755,9.52129,9.62456,9.18746,10.5102,10.0471,11.0131,10.8576,11.085,
2.35118,0.577402,1.63887,0.674241,1.58984,1.88089,2.6852,3.15255,3.69084,3.55314,3.63868,3.91096,4.10708,4.61825,4.94372,4.73613,5.36935,5.3777,5.92225,6.63475,7.05412,6.59094,6.82566,7.76871,7.53712,8.32787,8.14218,8.76914,9.59014,9.33247,9.76122,10.3924,
2.7945,0.879418,0.619498,1.67955,2.84272,2.72588,2.50785,3.01485,3.90991,3.97459,4.12899,4.5953,4.31989,5.11898,5.16384,6.19244,6.44072,6.67231,6.84339,7.4474,7.81983,8.0702,8.10566,8.75453,8.99656,9.84155,9.63395,10.2369,10.3454,10.4007,11.5441,11.7433,
2.39996,0.866899,0.749017,1.80369,1.20907,1.98938,2.35659,2.50055,3.48429,3.83376,3.66163,4.25834,4.53688,5.11585,4.94477,5.0783,5.63641,5.93268,5.9598,6.56799,6.49601,7.3869,7.42341,7.68004,8.23293,8.40089,8.44157,8.44888,8.92145,9.8958,10.0335,9.60161,
2.39164,0.853338,0.897152,1.36764,1.86837,2.03528,3.11812,3.40083,2.81664,4.02154,3.67415,4.23956,4.78933,4.93955,5.49245,5.73551,5.75742,6.94876,6.20495,7.9085,7.11671,7.94397,9.00803,8.43323,8.75453,9.45974,9.96986,9.68403,10.6667,10.94,10.8921,11.5514,
2.06577,0.754234,0.952442,2.07597,1.57836,2.11248,2.73318,3.06701,3.61364,3.49681,3.23079,3.33824,4.26982,4.28442,4.3804,5.26399,6.28319,5.28381,6.03387,6.25085,7.2106,6.60763,7.23042,7.69569,8.13696,8.5918,8.56572,8.95483,8.7368,9.29596,9.74453,9.78522,
2.87826,0.995213,1.36346,2.02589,1.62635,2.66433,2.28565,2.99085,3.33511,3.60426,4.18532,4.25,5.35162,4.39917,5.24521,5.79289,6.25294,6.55234,6.52104,7.61327,7.16783,8.08376,8.53025,8.53129,9.24588,9.31056,9.80086,9.91353,10.4007,10.4789,10.8378,11.3469,
2.37629,1.04946,0.588455,1.64849,1.91318,2.26061,2.463,2.86192,2.81106,3.35705,3.59683,4.15507,4.73508,4.42525,4.66102,5.01779,5.64163,5.77307,6.69421,6.52209,7.25963,7.05516,6.91537,7.7927,8.28092,8.07645,8.13174,8.52086,8.87763,9.60892,9.44409,9.94796,
2.63185,1.54081,1.51055,1.80161,2.05093,2.75397,3.09444,2.96884,3.69397,4.34701,3.94956,4.46698,4.2041,4.52332,5.30259,5.67709,5.76577,6.24042,7.04473,7.72803,7.36082,7.50687,8.30492,8.19642,9.08836,9.83633,9.59014,9.45348,10.2797,10.7001,11.2728,11.64,
2.11897,1.05259,0.998342,1.35094,2.4244,2.15212,2.65494,2.53393,3.15464,3.72659,3.80444,3.81897,4.56922,4.73821,5.385,5.32658,5.4768,5.9984,6.63892,6.36665,6.89034,6.72447,7.45262,7.47661,7.08646,8.20268,9.36063,8.9903,9.64125,9.67359,9.74453,9.99699,
2.40546,1.39729,1.45334,1.15855,1.30387,2.62156,2.99607,3.09935,2.4922,3.21619,4.45968,4.64537,4.41482,4.709,5.28381,5.36309,6.28945,7.07394,6.55756,7.36499,7.70195,8.29657,8.02429,8.4301,9.23649,9.24588,10.3329,10.1409,10.5822,12.0312,10.7637,11.9864,
2.14441,0.403163,1.14505,1.6215,1.65576,1.94847,2.43587,2.87506,3.06284,3.60634,3.05553,4.16654,4.21348,4.98963,4.38144,5.39021,5.39334,5.34014,6.28632,6.20495,6.70047,6.96753,7.24189,7.52877,7.82922,8.15574,8.23606,8.61788,8.96735,9.96986,9.76018,9.88328,
2.48738,1.34747,0.588045,1.83637,1.22083,2.12291,1.74606,3.1442,2.76031,3.82437,4.4722,4.31259,4.69712,4.43464,5.41734,5.99944,7.18869,6.58989,7.27945,7.27632,7.21268,8.42906,7.87616,8.01073,9.34186,8.85885,10.0116,9.76018,10.1263,11.1852,11.1497,11.3813,
2.25322,0.753699,1.24245,1.07763,1.99356,2.25748,2.61113,3.01555,2.95121,3.72036,3.79198,3.5003,4.2959,4.7935,4.70483,5.2619,5.92955,5.93685,5.78454,6.25711,6.66918,7.25546,6.8121,7.54025,7.7009,8.59388,8.51877,9.04246,9.39402,9.94483,9.5578,10.1378,
2.56357,0.955571,1.304,1.70876,1.88193,3.16398,2.4703,3.40792,3.47539,3.6041,4.67948,4.97012,5.40273,4.47637,4.96908,6.03178,6.1142,6.65562,6.93937,7.49956,7.5319,8.44992,8.42384,9.20207,9.09879,9.05602,9.79356,10.262,9.77896,11.2436,11.2259,11.5514,
2.55163,1.1736,1.34156,0.999386,2.1322,1.68482,2.35953,2.87193,3.2746,3.35702,3.68563,4.42108,3.95268,4.56296,4.86444,5.1701,5.06369,5.88365,5.65727,6.47827,6.45011,6.99883,7.26484,6.90181,8.03681,7.86781,8.5751,8.56884,9.19372,9.5265,9.76748,10.5541,
2.59133,0.861683,1.54185,1.37598,1.71293,1.51681,2.7384,3.44882,3.49994,3.30173,4.81437,4.32615,4.97606,5.46011,5.62806,5.69483,6.24981,6.42507,6.76202,7.5246,7.9617,7.824,8.50625,8.83799,8.53025,9.6037,9.97821,9.84885,11.0005,11.1831,11.3427,11.5232,
2.12091,0.842906,1.31026,0.855424,1.40415,2.24846,2.01179,3.05553,3.17446,3.73257,4.05388,4.41587,4.01841,4.55148,4.60468,4.98232,5.54669,5.94728,6.40733,6.46158,6.67335,6.81105,7.22938,7.66856,7.95127,8.30387,8.51356,8.24545,9.2897,8.94961,9.72471,9.83216,
2.61095,0.365237,0.351966,2.27649,1.33008,2.14258,2.41143,3.54182,3.46916,4.23539,4.71944,4.07578,5.21183,5.14715,6.04221,5.64163,6.13193,6.97171,7.22625,6.91224,7.92206,8.49373,8.17764,9.06854,9.12383,10.1274,10.1097,10.0533,10.3381,10.5666,11.6411,11.616,
2.37062,1.16421,1.21741,1.67029,1.54261,2.2627,2.60696,2.92305,2.97103,3.4363,3.9579,4.36996,4.49515,4.58591,5.37352,5.33284,5.09812,5.83566,5.95459,6.20704,6.49809,6.57738,6.95397,7.33161,7.59554,7.52982,8.2225,8.41341,8.90058,9.48269,9.45974,10.1858,
2.1924,0.527626,1.60861,1.04737,1.70563,1.8788,2.72692,3.12021,3.61156,3.92452,3.19219,4.52749,4.83419,5.37561,5.66353,6.15071,5.98171,7.40255,7.40776,7.0343,7.56529,8.14948,8.1307,8.94961,9.03516,9.71949,9.79669,10.3955,11.373,10.288,10.5927,11.2488,
2.12162,0.349705,1.45109,1.34468,1.27166,1.94661,2.46717,2.29608,3.19324,2.96999,3.95268,3.59174,4.44925,4.48889,4.89991,5.1242,5.57695,5.95354,6.4355,6.07142,6.6045,6.41151,7.60701,7.91684,7.93145,8.07645,8.70863,8.72845,9.14469,9.7028,9.97925,9.8332,
2.28393,0.574803,1.26962,1.87285,2.07615,2.26195,2.79238,2.90948,3.43698,3.38819,3.99024,4.67249,5.30467,5.38813,5.45698,5.47889,7.10836,6.64727,6.74429,7.59032,7.90433,7.84904,8.19851,8.59388,8.88702,9.05498,9.38776,10.5885,10.3517,10.7836,11.5002,11.3855,
2.23475,1.2447,1.36425,1.36407,1.83429,2.14258,2.26092,2.87715,3.30903,3.31425,3.31738,3.95894,4.27503,5.16697,4.21557,4.86444,5.18783,5.69274,6.29571,6.6358,6.05995,6.49914,7.35978,7.20956,8.00656,7.57363,8.63248,8.9903,8.92249,8.69507,10.0857,9.53485,
2.44687,0.841862,1.47196,2.19344,2.1976,2.81768,2.9679,3.19305,3.09963,4.09978,4.46698,4.61199,5.12211,5.42464,5.51644,6.07768,6.37291,6.42403,6.75785,7.62579,8.15261,7.92936,8.35812,8.91832,9.17703,9.59744,10.0095,10.3882,10.2181,11.1654,11.3156,12.1126,
2.0499,1.14961,1.81146,1.60966,1.58253,2.00245,2.24327,2.35226,3.44321,3.40999,3.24702,4.44403,4.76534,4.62346,4.67041,5.43194,5.52374,6.25816,6.70152,6.71195,6.02059,6.65249,7.28362,7.66543,8.05559,8.37481,8.76705,8.97778,9.26049,9.5505,9.48269,10.2494,
2.52794,1.16108,0.643654,1.84229,2.29504,1.96435,2.56001,3.6041,3.39235,3.96429,4.40648,4.46385,4.54418,5.6687,5.15177,5.68635,6.41672,6.99466,7.00822,6.97171,7.81565,8.05872,7.58719,9.46391,9.1134,9.59535,9.39715,9.68403,10.8774,11.0673,11.6651,11.7652,
