StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
0, 0,1.19029,1.86524,2.14586,2.84063,2.8229,2.72275,3.29166,3.35913,3.88852,4.65041,4.09404,4.43658,5.26388,5.62926,5.69154,6.51061,6.51687,6.50227,7.00822,6.70465,7.59241,8.33308,8.2538,8.14113,9.39193,9.19581,9.08732,9.71011,10.0137,10.3327,10.449,
1, 2.02276,1.61216,2.44839,2.36389,2.22459,3.16716,3.64285,4.21036,3.91409,4.85192,4.94581,5.46532,5.21078,6.80375,6.32909,7.07498,6.70673,7.78019,7.67169,8.17556,8.72428,8.87346,9.28344,9.59953,10.0763,10.6548,10.4737,10.741,11.2322,12.7486,12.497,12.4715,
2, 1.93833,1.85898,1.75362,2.21158,2.30339,2.42231,2.51411,3.1889,3.63213,3.70271,4.55983,4.67249,5.07725,5.26816,5.22852,5.99005,6.61389,6.59302,7.15844,6.82774,7.52669,7.78227,7.85112,8.57197,8.79,9.07375,9.33247,9.55884,9.63291,10.2421,10.2484,11.0846,
3, 2.04364,2.16047,2.28356,2.46925,2.63825,3.62303,3.97876,3.4436,4.10291,3.6512,5.04596,5.76159,5.83044,6.18305,6.12358,6.95501,7.10524,7.13966,7.97735,8.64187,8.51981,8.9444,9.25944,9.35437,10.0345,10.756,10.4147,10.8134,10.8586,10.2496,12.1336,12.581,
4, 2.03397,1.48552,2.35537,2.02944,2.27233,2.5308,3.51141,3.39353,3.82854,4.12168,3.92348,4.86757,5.10333,4.95937,5.94102,5.51331,6.35413,7.00509,6.69526,6.80271,7.57885,7.42132,8.37168,8.94753,8.77331,9.43679,9.66108,9.55571,9.45765,9.72993,10.6624,10.6076,
5, 2.07011,1.78093,1.76234,2.1021,3.16611,2.8834,4.05805,3.48429,4.19366,4.60677,4.62972,6.05786,5.06578,6.83231,5.87739,6.64858,6.96518,6.74616,7.56529,8.42906,8.70029,8.55215,10.045,9.28344,9.83425,9.75914,10.6607,11.0732,11.0567,10.4368,11.593,13.0869,
6, 1.95725,1.34124,1.69624,2.28044,2.75613,2.76344,3.21097,3.92973,3.99128,4.70854,4.25805,5.01164,5.31785,5.47158,5.6917,6.25398,6.78706,6.6191,6.52209,7.31909,7.56529,7.70925,8.14218,8.8672,8.93396,8.89015,9.37837,10.118,9.83007,10.2451,10.4985,10.5581,
7, 1.92136,1.36511,1.86459,2.81314,3.20862,3.23457,3.68967,4.35536,4.05771,4.83628,4.92077,5.09916,5.61972,6.01718,6.83505,6.72551,7.3869,7.41194,8.07541,8.42593,8.4906,9.50981,9.86972,9.98551,9.85094,10.2411,10.3824,10.6959,12.3573,10.6314,10.3513,12.7489,
8, 1.92749,2.00245,2.29102,2.32008,2.62526,2.58685,3.36328,3.12334,3.82312,4.41587,4.71631,4.90617,4.92808,5.41108,5.55608,5.85757,6.58885,6.2665,6.60659,7.15635,7.35769,8.18808,8.14635,8.31639,8.84947,8.97882,9.79148,9.76644,10.2442,10.6782,10.4816,10.9159,
9, 2.20506,1.31944,2.33046,2.23497,2.25469,2.82916,3.61156,3.24227,3.91617,4.42421,4.96876,5.51436,5.78976,6.4042,6.37812,7.16574,7.81878,7.3024,8.79313,8.33204,8.35812,9.28761,9.75809,10.0189,10.0384,10.6553,10.5258,11.0103,11.3924,11.2734,10.6583,10.6583,
10, 1.97439,1.89865,1.75153,2.24223,2.55986,2.427,2.946,3.16194,3.49472,4.32928,4.42212,4.60051,4.4868,4.86131,5.55817,5.85131,5.79393,6.41777,6.76932,6.59302,7.43697,8.14635,8.31326,8.4374,8.75349,9.24588,8.65439,9.93857,9.93857,10.0721,10.6982,10.5918,
11, 2.24725,1.67029,2.03048,2.18929,3.21619,2.7071,3.74216,3.38414,4.35043,5.32345,5.26294,5.77098,5.82001,5.8993,5.9452,6.66605,7.21373,7.47557,8.53546,8.31639,8.73889,8.1839,9.74766,9.46287,9.98029,10.2512,10.4305,11.0492,11.2075,10.3946,12.9396,12.6394,
12, 1.99409,1.61527,1.83014,1.83014,2.40727,3.01798,3.03258,3.1369,3.25791,4.43882,4.24582,5.06995,4.86757,5.51644,5.81167,5.76055,6.53356,6.62536,6.37395,7.07394,7.5319,7.82609,8.48435,8.49686,8.51251,9.20311,9.60683,9.83738,10.0909,10.2494,10.5592,10.4421,
13, 2.3613,1.89969,1.94017,2.39274,3.25165,3.18489,2.88758,3.77638,3.99128,5.02927,4.06326,5.51644,6.13923,5.86591,6.65457,6.73907,7.35039,7.48183,8.44157,8.64083,8.61579,9.3742,10.1639,10.2202,10.4207,10.3567,10.528,11.1946,11.7564,10.7946,12.6884,12.6112,
14, 1.85306,1.29878,1.64849,1.50628,2.31695,3.02841,3.00233,3.47699,3.47281,3.74613,4.43882,4.43569,5.61972,5.12003,5.39647,5.95146,6.29571,6.06412,7.07603,7.28884,7.23564,7.19182,8.29866,8.16721,8.94857,9.0894,9.9563,9.38463,9.63291,10.2954,10.6786,10.3533,
15, 1.96402,1.45957,1.60593,2.25157,3.10978,3.11604,2.37094,3.42483,4.22392,4.72152,4.57652,5.43716,5.76785,5.96815,6.66396,6.81523,8.04203,7.68317,8.45931,8.90997,9.1739,9.15434,9.66942,10.1451,10.1795,10.6683,10.2493,10.4763,10.9555,10.6374,10.3213,1.85306,
16, 2.06709,1.63396,1.87893,2.28479,2.16334,2.88684,3.23353,3.99128,4.17176,4.10708,4.33032,5.10646,4.80707,5.12733,5.49766,5.94207,6.64101,6.52522,7.01448,7.15427,7.36395,7.72281,8.39985,8.23919,8.9517,9.01742,10.0784,9.98968,10.0763,10.2466,10.7258,10.8324,
17, 1.95575,1.82495,2.05124,2.67197,2.45987,2.96988,3.90574,3.80246,4.85505,4.19575,5.0856,4.93225,5.51748,6.2446,7.08646,6.75681,7.92623,8.23502,7.72385,8.46557,9.16451,9.88954,9.70906,9.31473,10.2617,10.3703,10.9445,10.915,2.28515,11.3463,10.5435,12.8846,
18, 2.02027,1.27688,2.15504,2.34603,2.58374,2.73217,2.65121,3.75969,4.29798,4.20305,4.48159,4.74969,5.2692,5.14298,5.19201,5.69587,6.77454,6.63475,6.96962,7.67691,7.61432,8.09732,8.13696,9.31056,8.47913,9.5964,9.12696,9.32725,10.0502,10.2498,10.5986,10.4318,
19, 2.15525,1.1882,1.75049,2.47994,2.42181,3.3372,3.68041,3.98815,4.07474,4.07474,5.14402,4.96668,6.25503,6.45115,6.58051,6.72342,7.97005,7.86156,8.87346,8.87346,8.87346,9.71219,10.191,10.021,10.0877,10.6312,10.5525,10.266,10.266,10.266,13.0041,12.7886,
20, 2.08613,1.29357,1.99518,1.84438,2.47163,3.46134,2.95534,3.6971,3.56983,4.45342,4.8634,4.75178,4.67771,5.2619,5.2619,5.79915,6.34892,6.69734,7.37542,7.37542,7.52773,7.23772,7.90328,9.06436,8.86616,9.38776,9.67672,9.91144,10.1868,10.1868,10.2202,10.5276,
21, 1.88819,1.25288,1.96093,2.55688,3.33615,3.00233,3.89114,3.89114,4.10916,4.78203,5.03657,5.52583,5.72925,6.35622,6.56799,6.85591,7.19808,7.94397,7.91997,8.49895,8.88285,9.07375,8.83903,9.74349,10.5673,10.4849,10.6461,10.6461,10.6461,11.4611,12.9366,12.7938,
22, 1.96482,1.75956,2.03671,2.51108,1.881,2.63199,3.14525,3.15985,3.74196,3.61156,4.26252,5.10229,5.65519,5.65519,5.65623,6.15488,6.07142,6.6045,6.94458,7.53295,7.53295,8.40402,7.66126,8.35186,9.12696,9.12696,9.57449,9.52337,10.3002,10.3002,10.1055,10.4109,
23, 2.08709,0.933664,2.41558,2.06888,3.50098,2.9919,3.03467,3.97459,4.17593,5.21183,5.03553,5.54252,5.06265,6.40316,6.3437,6.75681,7.61014,7.63518,8.34038,8.3456,8.51877,9.45139,9.89475,9.76331,10.2192,10.4251,10.8469,12.0009,11.1866,12.702,12.702,13.0858,
